Protein,ProteinName,Gene,nFragment,nPeptide,AgedMacro_Aging_Macro_10_1,AgedMacro_Aging_Macro_12_1,AgedMacro_Aging_Macro_14_1,AgedMacro_Aging_Macro_17_1,AgedMacro_Aging_Macro_25_1,AgedMacro_Aging_Macro_27_1,AgedMacro_Aging_Macro_31_1,AgedMacro_Aging_Macro_34_1,AgedMacro_Aging_Macro_38_1,AgedMacro_Aging_Macro_42_1,AgedMacro_Aging_Macro_45_1,AgedMacro_Aging_Macro_46_1,AgedMacro_Aging_Macro_53_1,AgedVehicle_Aging_Macro_11_1,AgedVehicle_Aging_Macro_16_1,AgedVehicle_Aging_Macro_18_1,AgedVehicle_Aging_Macro_23_1,AgedVehicle_Aging_Macro_26_1,AgedVehicle_Aging_Macro_29_1,AgedVehicle_Aging_Macro_33_1,AgedVehicle_Aging_Macro_37_1,AgedVehicle_Aging_Macro_54_1,Young_Aging_Macro_101_1,Young_Aging_Macro_102_1,Young_Aging_Macro_103_1,Young_Aging_Macro_104_1,Young_Aging_Macro_105_1,Young_Aging_Macro_106_1,Young_Aging_Macro_107_1,Young_Aging_Macro_108_1,Young_Aging_Macro_109_1,Young_Aging_Macro_110_1,Young_Aging_Macro_111_1,Young_Aging_Macro_112_1,Young_Aging_Macro_113_1,Young_Aging_Macro_114_1,Young_Aging_Macro_115_1,Young_Aging_Macro_116_1,Young_Aging_Macro_117_1,Young_Aging_Macro_118_1,Young_Aging_Macro_119_1,Young_Aging_Macro_120_1
P56655|CP238_MOUSE,Cytochrome P450 2C38 (EC 1.14.14.1) (CYPIIC38),Cyp2c38,6,1,232719,206139,156929,224758,160089,264547,127998,261021,245513,0,176535,220741,315026,171273,253412,221782,209858,230980,152337,187103,50869.4,297128,234311,223998,298192,395880,263885,224614,235027,0,228115,243351,266931,289817,245772,218142,225666,354152,228521,274665,232665,208118
Q059Y8|DCST1_MOUSE,E3 ubiquitin-protein ligase DCST1 (EC 2.3.2.27) (DC-STAMP domain-containing protein 1) (RING-type E3 ubiquitin transferase),Dcst1,6,1,99935.1,129249,148360,118477,169879,125809,179933,115091,90545.8,111755,144626,134317,85026.3,165662,130874,152881,140112,127144,148936,128913,281054,97304.3,105888,91875.8,91634.5,48692.8,78611.7,83399.6,90283.4,0,92281.7,82706.4,78654.3,65340.7,75219.9,90104.7,95864.8,61855.4,92330.6,83093.9,98298.1,106539
Q6NZG4|DDIAS_MOUSE,DNA damage-induced apoptosis suppressor protein (Nitric oxide-inducible gene protein),Ddias,6,1,28416.7,29478.3,38150.3,25593.2,48187.3,33200.5,49546.8,26650.5,25801.8,31933.1,32984.7,27509.9,23145.2,45941.7,35070.8,40614.9,35969.7,36275.9,38719.4,33586,76014.2,21946.1,30438.4,26172.7,23567.5,12370.5,18429.4,21700.2,23470,0,26090.2,22757.8,19597.7,15885.5,21646.2,22464.6,24625.6,17972.6,26055.9,21951.5,26475.1,28341.7
Q99L04|DHRS1_MOUSE,Dehydrogenase/reductase SDR family member 1 (EC 1.1.-.-),Dhrs1,4,1,0,733.07,0,0,2174.39,5047.47,0,5226.56,0,3925.25,0,0,4724.48,0,3496.96,0,3328.88,4297.89,5465.92,4850.56,4540.83,0,0,2114.95,2889.2,0,3746.72,2979.58,0,0,0,0,2369.85,2273.3,0,0,1693.26,0,0,0,0,0
Q80VY9|DHX33_MOUSE,ATP-dependent RNA helicase DHX33 (EC 3.6.4.13) (DEAH box protein 33),Dhx33,6,1,54630.8,70994,86560.5,65797.1,77768.9,61494.9,53339.9,69233.9,49853.1,54812.8,74522.8,68680.5,51378.2,72338.8,63099.7,64274,71501.5,78174.4,70340.7,74803.6,39669.5,59184.8,59045.5,60029.6,55738.4,33343.1,51473.5,49422.5,56552.4,0,62799.5,55906.3,54138.2,45040,55313.6,57856.1,73116.6,41944.9,64191.1,58656.7,56277.2,65774.5
Q3UH60|DIP2B_MOUSE,Disco-interacting protein 2 homolog B (DIP2 homolog B),Dip2b,6,1,3.29E+06,2.83E+06,2.98E+06,3.27E+06,1.52E+06,1.55E+06,1.90E+06,2.48E+06,2.14E+06,2.38E+06,2.82E+06,2.10E+06,2.48E+06,3.47E+06,3.63E+06,3.09E+06,2.40E+06,2.08E+06,1.92E+06,2.00E+06,1.87E+06,1.78E+06,3.47E+06,3.36E+06,3.51E+06,1.90E+06,3.88E+06,4.59E+06,3.65E+06,3.15E+06,3.69E+06,3.38E+06,2.88E+06,2.89E+06,2.87E+06,4.09E+06,3.19E+06,2.50E+06,3.90E+06,2.93E+06,3.30E+06,2.62E+06
Q9D6I7|FA69A_MOUSE,Divergent protein kinase domain 1A (Protein FAM69A),Dipk1a,6,1,21561.4,34213.1,36455,49552.3,34888.1,64569.3,23250.7,74540.8,19221.8,81242.4,15952.8,29056.1,69154.9,26810.3,42413.5,41571.6,34462.5,54489,37769.1,45438.7,14610,58665.4,50852.6,73862.2,48488.4,79835.7,46139.1,33377.7,40489.9,0,57873.5,40604.3,52336.4,77445.3,70617.5,41029.9,52065.1,53674.4,52712,72601.6,41298.7,41480.1
Q91XM9|DLG2_MOUSE,Disks large homolog 2 (Channel-associated protein of synapse-110) (Chapsyn-110) (Postsynaptic density protein PSD-93),Dlg2,5,1,49635.6,14315.8,11743.4,23258,19451.2,44069.2,26376,41794.1,80409.9,46574,2062.53,5175,60228.6,9150.22,24457.8,22232.9,25685,35183.3,29233.7,38787.9,6457.72,45741.8,28498.7,36772.1,39649.3,58151.9,38092.5,28124.5,27080.8,0,29769,37002.9,42663.8,38533.1,29614.6,20155.3,27626.4,59998.9,28470.3,36340.4,25397.4,15906.7
Q8BJ42|DLGP2_MOUSE,Disks large-associated protein 2 (DAP-2) (PSD-95/SAP90-binding protein 2) (SAP90/PSD-95-associated protein 2) (SAPAP2),Dlgap2,6,1,33232.4,15338.8,18881.7,21266.9,23865.7,22469.5,29944.5,0,29423.1,22404.6,4633.69,4183.78,28540.8,19345.9,25924.1,29251.9,27421.4,0,31808.8,30542.9,28941.2,8839.88,19781.6,14918,23131.6,16777.5,33294.2,28036.2,24555.6,0,0,26597.6,21223.4,16405.8,12473.8,18526.4,15087.9,27617.2,0,15326.5,0,0
B1AZP2|DLGP4_MOUSE,Disks large-associated protein 4 (DAP-4) (PSD-95/SAP90-binding protein 4) (SAP90/PSD-95-associated protein 4) (SAPAP-4),Dlgap4,3,1,0,1052.76,1858.28,2059.22,0,1757.89,1722.76,2271.48,1024.19,1684.21,0,0,2573.56,841.47,0,1610.51,1842.36,1422.75,0,2302.23,624.39,0,1406.05,0,1926.39,4729.43,2650.67,0,0,0,2204.85,2883.35,1298.17,1584.23,0,0,0,3172.2,2410.24,2469.7,0,0
Q3V0Q1|DYH12_MOUSE,"Dynein heavy chain 12, axonemal (Axonemal beta dynein heavy chain 12) (Axonemal dynein heavy chain 12-like protein) (Axonemal dynein heavy chain 7-like protein) (Ciliary dynein heavy chain 12)",Dnah12,6,1,23539.3,43512.6,71887.8,55662,165044,43577.5,118561,339.98,71782.7,0,44382.3,51925.4,53642.9,3356.62,80425.1,55132.7,123875,40357.8,124589,50687.9,91033.1,0,0,0,0,0,66268.3,66523.8,55628.4,0,0,57583.3,48741.1,294.84,0,0,10930.5,24117.7,0,39055.4,24562,56547.4
P0C6F1|DYH2_MOUSE,"Dynein heavy chain 2, axonemal (Axonemal beta dynein heavy chain 2) (Ciliary dynein heavy chain 2)",Dnah2,4,1,0,55357.6,42584.8,43240.9,28565.4,23141.6,25610,30466.6,50998.9,17461.3,0,42648.8,19000.5,0,19165.9,0,17509,44817.2,23945.8,44860.6,0,0,0,21449,26255.3,8611.52,0,0,26790.3,0,29902,42951.4,0,0,26649.2,0,27599.2,37400.6,64632.2,68674.1,78746.4,82641.6
Q0VBN2|DSEL_MOUSE,Dermatan-sulfate epimerase-like protein (EC 5.1.-.-),Dsel,6,1,28492.7,16431.8,16345.8,17749.4,27777.1,42802.5,21927.5,43729.8,41937.3,32048.2,1204.44,1061,42468.1,17086.3,21047.6,20562.3,25868.7,27560.1,29893,38179.6,10299.2,44011.2,20494.7,21321.3,28077.8,48533.6,36545.9,4776.66,15649.9,0,21460.2,27075.9,35787.7,31984.5,36970.1,16833.7,30042.6,52374.5,19939.7,29339.9,18492.6,19689.1
Q61508|ECM1_MOUSE,Extracellular matrix protein 1 (Secretory component p85),Ecm1,11,2,15051.8,10216.7,8973.1,14023.4,11845.2,19926.3,17567.9,16902.2,22471.7,23151,4777.61,5996.43,24781.4,6287.2,11660.4,12306.8,15115.6,15978.2,18282.4,13171.1,7993.23,18597.1,17468.8,12318.9,21952.1,22146,25906.3,23487.4,15214.9,0,14451.9,21201.8,25774.9,9399.34,12817.5,9449.81,12178,28872.9,13575.2,21236.9,19187.7,13136.9
Q8BPB5|FBLN3_MOUSE,EGF-containing fibulin-like extracellular matrix protein 1 (Fibulin-3) (FIBL-3),Efemp1,22,3,60768,64275.8,71381,78034.2,66078.9,64574.1,77752.6,65747.9,60076.3,61010,47001.2,45872.6,58065,63357.3,57433.7,54866.9,73954.9,74825.8,66101.1,59076.3,21355.8,43375.1,68262.6,64115.3,55809.3,31027.9,61548.8,65753.1,68157.6,43442.4,65156.2,57071.1,52758.5,49454.4,52677.7,70818.9,68098.7,47682.3,60539.9,56448.6,72873.2,48256.7
Q9D9T8|EFHC1_MOUSE,EF-hand domain-containing protein 1 (Myoclonin-1),Efhc1,5,1,644814,414194,486233,477991,1.01E+06,518207,788997,0,1.54E+06,74337.4,332746,341893,785098,260598,510605,511027,739127,335478,1.05E+06,463890,517904,104901,32582.6,17047.9,43825.3,0,555463,477824,479067,0,32534.3,496332,516719,19314.7,73115.5,29508.8,104478,615773,19414.5,397060,220864,484187
Q01279|EGFR_MOUSE,Epidermal growth factor receptor (EC 2.7.10.1),Egfr,98,14,776310,927497,1.28E+06,1.07E+06,1.49E+06,1.37E+06,1.09E+06,1.47E+06,890360,1.06E+06,703829,1.25E+06,1.59E+06,1.12E+06,1.07E+06,939411,1.38E+06,1.61E+06,1.26E+06,1.40E+06,399319,1.70E+06,988991,1.33E+06,842188,486435,1.31E+06,949615,780287,1.18E+06,1.12E+06,929881,964936,838056,1.01E+06,1.04E+06,1.53E+06,1.01E+06,1.06E+06,1.37E+06,1.05E+06,1.36E+06
Q91YE3|EGLN1_MOUSE,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2) (SM-20),Egln1,5,1,8448.49,11106.6,11188.5,10229.5,16489.8,12633.8,19942.6,8706.23,8728.74,8913.61,9302.33,9441.91,6225.3,15581.4,12121.9,11155.2,16064.1,12423.2,19399.3,7196.54,31371.2,3609.06,8320.58,7823.42,6871.74,3065.46,7641.33,7814.95,7202.44,0,6481.35,6521.12,5631.42,4814.08,5772.99,6808.88,8239.93,4724.55,7129.3,4559.63,6890.42,5818.6
P08152|EGR2_MOUSE,E3 SUMO-protein ligase EGR2 (EC 2.3.2.-) (E3 SUMO-protein transferase ERG2) (Early growth response protein 2) (EGR-2) (Zinc finger protein Krox-20),Egr2,5,1,351848,125053,108499,162816,151867,281511,244318,269720,0,308790,71009.9,109186,342015,140999,145382,207865,170223,247878,224695,273233,206812,270990,192818,170858,243823,410314,204712,129388,162061,0,166340,199749,225407,189061,172297,131381,173366,430289,184417,216612,172213,137608
Q9Z2R9|E2AK1_MOUSE,Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1) (Heme-controlled repressor) (HCR) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Heme-regulated inhibitor) (Hemin-sensitive initiation factor 2-alpha kinase),Eif2ak1,6,1,18626.2,1332.64,2946.14,5268.12,1956.16,10989.9,4707.34,17974.5,21561.6,12110.1,0,0,21504.1,3444.11,6592.91,0,7548.39,10380.8,9113.54,11666.6,3991.9,8967.26,11034.4,9502.03,13478.8,24608.1,0,8426.95,0,0,9492.13,12766.5,15294.3,10726,9781.61,5878.7,10362.6,31118.4,9524.93,12457.8,0,7837.84
Q9EST3|4ET_MOUSE,Eukaryotic translation initiation factor 4E transporter (4E-T) (eIF4E transporter) (CD40 ligand-activated specific transcript 4) (Eukaryotic translation initiation factor 4E nuclear import factor 1),Eif4enif1,5,1,0,0,1714.22,6234.02,1021.85,13894.1,2616.51,38305.3,1386.38,44528.9,0,0,1710.71,0,0,0,912.72,14248.1,1117.62,2835.09,5794.36,18251.3,20314.2,53593.8,4995.2,18978.3,8479.52,2046.1,5312.01,0,37192.1,3209.99,0,56245.4,36262.3,24186.7,1653.26,9942.28,16261,6747.52,8914.32,2551.49
Q7TT37|ELP1_MOUSE,Elongator complex protein 1 (ELP1) (IkappaB kinase complex-associated protein) (IKK complex-associated protein),Elp1,6,1,11315,9374.26,7040.43,13637.5,5746.76,25952.4,7498.04,17943.2,5815.79,16628.8,6353.91,9123.65,19382.2,8144.72,14740.5,12696,12118.7,11704.1,14594,11360.5,4864.36,16849.3,17009.4,20500.5,31419.5,65492.4,30878.2,4749.99,14286.7,0,22504.2,17752,33598,45410.9,32290.2,4942.17,17882.8,23782.3,11348.5,13539.2,12492.3,9964.22
P97481|EPAS1_MOUSE,Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha),Epas1,6,1,99145.5,62220.9,55791.3,73464.9,59310.8,110055,55656,91837.3,141252,103549,59113.7,63764.8,83276.6,60190.7,70495.7,74838.6,71233.9,62210.8,85128.2,68789.9,52709.9,110887,86300,81136.5,129589,106223,119787,105979,77630.6,96077,103369,98965,150445,132444,122734,120788,88739.9,123836,73794,78616.2,84643.6,82776.6
Q8BYG9|EPHAA_MOUSE,Ephrin type-A receptor 10 (EC 2.7.10.1),Epha10,6,1,405429,449521,463078,452167,550614,274765,343242,439877,398791,295451,441936,376686,421347,359595,387708,410364,320890,452411,323787,458440,191644,298262,423281,398744,344608,206669,335285,305452,352250,0,365114,321750,319164,257941,297984,326367,380892,180060,402261,358063,389859,400129
Q8VDI1|ESIP1_MOUSE,Epithelial-stromal interaction protein 1,Epsti1,6,1,11747.9,16384.1,15071.7,15884.4,6925.33,12216.5,4167.07,17201.6,7626.52,15272,724.51,7954.32,19792.7,17174.2,12157.6,14043,9270.58,10598.2,7150.28,0,2692.08,17064.1,22557.5,21080.3,20226.2,21170.8,20017.6,15499.9,12685,0,17951.7,13909,22945,23091,15073.8,13553.5,15632.7,21780,12523.4,13836.3,11982,11817.5
Q3V1V3|ESF1_MOUSE,ESF1 homolog (ABT1-associated protein),Esf1,6,1,1916.28,4606.13,4472.96,7787.05,6748.82,6644.15,7188.72,6237.5,3700.72,7762.32,2437.89,12141.8,6164.47,919.85,9669.92,4464.31,11068.8,8998.99,6971.27,6270.48,6692,5846.41,3649.85,6466.3,9796.82,5017.25,12835.2,11734.8,9389.27,0,7705.95,12654.4,9519.68,12680.2,12641.5,14880.9,12921.3,4675.39,10527.9,10040.8,12135,8592.04
P97366|EVI5_MOUSE,Ecotropic viral integration site 5 protein (EVI-5),Evi5,6,1,0,21122.1,21005.5,26779.7,26008.7,21518,36207.7,34896.4,66169.9,24148.9,12146.1,11392.5,24042.7,2275.9,20683.6,29130.4,20593.4,38700.5,25550.6,52977.4,28260.1,4201.08,22165.8,17836.3,20748,14233.8,0,0,16914.4,0,21224.4,19265.2,14941.4,3429.25,15916.9,0,26771.7,43542.1,26228.2,25980.1,23822.6,18914.3
Q9D4H1|EXOC2_MOUSE,Exocyst complex component 2 (Exocyst complex component Sec5),Exoc2,5,1,23328.3,12068.8,14733.9,14309.2,32651.8,25169.8,26961.6,24105.8,34185.7,22853.1,0,0,18916.8,12994.9,13409.2,16838.4,26623.9,29393,32263.7,38784.3,31670.7,3070.73,0,14040.7,14850,13931.1,0,8854.24,0,0,0,13684.6,11099.4,11429.6,10534.6,8721.22,15150.5,16168.8,0,0,11396,12202.2
Q8R313|EXOC6_MOUSE,Exocyst complex component 6 (Exocyst complex component Sec15A) (SEC15-like protein 1),Exoc6,5,1,1584.4,122066,95893.7,122365,100556,103792,106993,165127,200072,75535.8,89380.7,85912.3,130108,19978,104860,122755,84545.6,159040,111381,191121,64448.6,73184,137082,112445,150045,61110.2,21038.9,2935.5,106685,0,138229,164027,120055,42941.8,147323,3418.91,132649,203072,174413,190484,188437,165342
O88947|FA10_MOUSE,Coagulation factor X (EC 3.4.21.6) (Stuart factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain],F10,30,6,364114,229838,247468,252620,289415,384646,317880,384825,488174,376646,200589,255022,414485,224416,307588,269402,323565,354811,358881,434952,260437,407426,294215,281026,360397,371662,352081,292040,283348,297411,278910,280519,322314,313680,305208,287605,305297,387615,269352,311788,270254,234478
Q80YC5|FA12_MOUSE,Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Coagulation factor XIIa light chain],F12,17,3,238757,152957,147179,185257,157802,207093,196645,237116,228470,198206,105162,129907,262490,146050,203766,167954,192383,197507,197554,222498,98128.4,216366,179167,167642,209014,215219,212237,200148,187956,185305,177216,186414,196249,185843,166285,181326,188503,245352,186571,197592,166951,133159
Q8BH61|F13A_MOUSE,Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain),F13a1,18,3,48313.9,59476.2,60021.3,56121.9,25883.9,32366.6,16662,3099.13,36491.1,2794.92,59932.4,43842.4,58730,34297.1,52522,65888.2,34471.5,4936.74,25803.5,6265.45,10393.5,0,19101.4,27699.1,17529.2,16297.7,75167.5,82265.1,77205,61126.5,12826.6,74222.3,68439.6,5485.52,16316,11800.5,9817.19,44455.2,5348.74,30842.7,26184.9,95790.1
Q07968|F13B_MOUSE,Coagulation factor XIII B chain (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain),F13b,52,9,284940,298237,346010,329348,307087,217318,286964,53457.3,337313,39842.2,308308,192839,336581,222998,339511,350097,280605,96064.6,261215,117553,161042,53692.7,56706.5,193754,66585.5,130117,419062,456626,419749,264492,63374.6,382608,338325,53505.1,90164.3,62608.7,77076.6,185637,82090.7,145802,87508.7,408594
P19221|THRB_MOUSE,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],F2,40,8,500453,427788,446064,455894,498898,550180,442598,508514,354085,539756,356137,404788,587678,430931,485354,430808,520270,545343,528710,583049,301692,556670,478870,433338,536423,291183,576369,530823,468292,466546,432968,432313,507133,475398,450840,422480,480154,497445,452233,550452,443857,426128
O88783|FA5_MOUSE,Coagulation factor V (Activated protein C cofactor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain],F5,27,4,70449.5,61518.4,62793.4,67617,64694.4,85758.2,89483.1,69471,97294.3,65726.2,40065.6,47409.7,83419.3,51940.3,74155,61161.5,77266.1,83716,76741.2,87376,59476.3,62504.4,66190.1,55455.8,73244.2,43944.2,60874.3,51524.4,59408.3,60347,58354.6,55461.7,60338.4,47558.6,54205.8,51668.6,66194.9,64886.5,56755.4,61368.8,64300.3,64252.2
P16294|FA9_MOUSE,Coagulation factor IX (EC 3.4.21.22) (Christmas factor) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain],F9,16,3,26858.7,36764.1,38622.1,39112.9,50069.4,46339.2,48944.8,44351.3,33700.8,60661.5,32678.9,27529.5,42920.1,29221.4,44721.3,26920.8,53730.6,51812.8,42157.8,52316.7,34860.3,47229.4,36202.7,37132.2,36903.7,20980.7,42502.7,42804.7,28582.6,15563.1,27404.4,37842.8,32291.7,33739.4,30165.5,34843.5,40479.9,27838.5,29049,36842.2,33797.3,26815.5
Q5MPP0|FA2H_MOUSE,Fatty acid 2-hydroxylase (EC 1.14.18.-) (Fatty acid alpha-hydroxylase),Fa2h,5,1,481209,385721,437313,462223,204820,220833,268803,355129,317956,348408,391144,303925,348397,489881,502949,434275,330717,283364,251171,265619,262254,287159,512300,490993,496604,274006,543344,614839,555775,0,493804,460548,392971,438068,404835,619997,458870,353320,531296,402849,478257,334644
P11404|FABPH_MOUSE,"Fatty acid-binding protein, heart (Fatty acid-binding protein 3) (Heart-type fatty acid-binding protein) (H-FABP) (Mammary-derived growth inhibitor) (MDGI)",Fabp3,4,1,0,0,0,191.56,4318.53,3247.17,0,11222.7,952.37,18117.1,0,0,245.3,0,0,0,1255.14,10585.1,4313.42,1241.85,0,2288.25,10344.8,65179.1,1880.49,5894.87,0,0,0,0,0,0,0,0,5510.56,2602.44,4745.6,1756.01,5574.29,3441.15,2181.21,0
Q0VAX3|FS2P1_MOUSE,"Fatty acid desaturase 2-like protein FADS2B (Fatty acid desaturase 2B, pseudogene)",Fads2b,6,1,57264,89645.7,81018.5,85146.9,62272,47257.5,36916.3,58659.6,45119,57556.9,131574,125263,53154.3,77544.6,75971.6,89619.1,59528,38773.6,51159.6,37062.8,80949.8,73028.3,80335.7,65179.2,67003,38684.8,39327.3,70123.1,87292.4,73659.2,78191.9,56334.4,53363.3,35154.8,54676.3,72358.4,67415.2,42639.6,43738.2,40074.1,48424.8,57649.4
Q6NS59|F135A_MOUSE,Protein FAM135A,Fam135a,12,2,6246.32,12613.3,15498.9,19549.2,20902.9,18260.8,16787.6,18747.8,11128,21644.4,6800.03,31036,19314.2,0,25811.6,13140.5,27502.8,23728.3,18826.8,18972.9,15693,19224.9,8616.25,22091.2,26042.3,13939.1,33087.1,29422.3,27530,0,23307.9,31339,29929.8,30945.6,37751.7,42868.9,33042,12087.1,28827,28833.2,33536.4,28314.4
Q9D9R9|F186A_MOUSE,Protein FAM186A,FAM186A,5,1,72183.3,113587,115469,96094,124892,108556,97108.7,89389.2,0,86348.4,126374,136219,71488.6,118418,86691.7,104611,116335,103202,110248,91702.6,63982.4,79337.7,90477.2,72343,82847.2,40109.8,62294.1,71087.4,66970.1,0,72709.7,68686.1,64397.2,58238.4,65789.4,75832.5,93270.4,51064.6,75029.5,70510.2,85308.7,98134.9
Q3UVG3|F91A1_MOUSE,Protein FAM91A1,Fam91a1,6,1,12381.1,0,0,0,5717.85,17851.3,6817.38,12214.3,10964.8,7001.91,17618,9757.04,6840.71,16706.1,10020.1,0,11555.3,2871.36,7781.26,10198.7,9373.65,6599.03,0,12257.7,17283.9,11197.5,16700.2,19036.8,11858.6,0,13904.3,12654.8,19338.2,18445.3,20464,23665.2,13490.4,9955.61,10185.9,8628.45,10719,0
Q6DI86|FAKD1_MOUSE,"FAST kinase domain-containing protein 1, mitochondrial",Fastkd1,6,1,7902.93,49439.6,45957.3,47714.9,46882.5,55973,55708.9,51766.4,31949.4,65100.3,40086.5,59921.2,55129.5,31903.2,43570.2,46924.5,49267.2,69713.7,45343.2,55314.5,29774.1,61199.4,51114.9,50281.5,48277,36730.7,34196.6,34796.1,52332.6,0,49093.9,41657,37040.4,32205.4,36384.1,27876.5,48857,38050,57644,62285.9,56959.3,57116.8
Q8BNA6|FAT3_MOUSE,Protocadherin Fat 3 (FAT tumor suppressor homolog 3),Fat3,5,1,1.71E+06,809561,922640,1.01E+06,587628,669533,667912,1.05E+06,1.07E+06,1.06E+06,700437,602319,1.28E+06,1.20E+06,1.29E+06,852368,903174,796934,817828,850250,532298,729965,1.15E+06,1.25E+06,1.42E+06,1.07E+06,1.81E+06,1.92E+06,1.35E+06,0,1.13E+06,1.36E+06,1.18E+06,1.33E+06,1.15E+06,1.52E+06,1.15E+06,1.29E+06,1.33E+06,1.09E+06,1.05E+06,722161
Q08879|FBLN1_MOUSE,Fibulin-1 (FIBL-1) (Basement-membrane protein 90) (BM-90),Fbln1,6,1,38559.8,42118.3,45504.3,47116.7,43842.8,29414,35103.7,34888.5,35032.3,38178.3,43342,41285.2,37184.9,54767.8,35182.2,29256.1,46851.1,40181.2,34835.9,28533.8,17358,30971.2,54967,49737,42139,22207,49133.5,60554.8,55377.9,50521.8,46391.3,36519,39456.6,38836.8,45413,65044.9,62098.5,46605.4,59553.9,54469.1,56228,58982.9
Q80XI1|FBX34_MOUSE,F-box only protein 34,Fbxo34,6,1,10173.9,14753,19185.9,14386.9,23595.4,14333.5,13681.7,16018.2,12217.7,10471.2,19735.7,19515.8,12622.8,15833.2,13589.8,9785.46,19123.7,19724.2,19959,17352.5,14393.9,11068.8,13610.9,14992.4,12122.7,6207.52,13868.6,15795.2,15417.7,17375.6,17367.1,15937.4,11734.2,11217.2,14322.5,18257.3,18779.7,10704,18394,15400.4,19014.3,19433.3
Q5SRY7|FBW1B_MOUSE,F-box/WD repeat-containing protein 11 (F-box and WD repeats protein beta-TrCP2) (F-box/WD repeat-containing protein 1B) (Homologous to Slimb protein) (HOS),Fbxw11,6,1,15472.6,61703.5,53688.8,96296.6,145391,138629,126409,650479,30816.9,900386,32466.5,129435,88803,32196.5,12372.9,2170.2,53731.5,325529,22612.4,85041.8,256174,495455,226745,686194,51355.6,154689,51593.1,34948.2,108670,0,510601,75972.6,17724.2,498182,371924,200362,71714.1,136621,494058,270192,280360,137428
O70165|FCN1_MOUSE,Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin),Fcn1,5,1,2376.45,0,0,0,4563.9,0,4076.07,2341.74,3097.89,2638.95,1480.94,830.77,2602.66,3938.39,3757.37,0,3375.05,2510.54,2583.29,2888.76,2411.51,559.09,0,1201.33,1861.77,1267.43,758.28,2442.34,0,0,1089.13,1345.93,1082.88,354.7,403.22,1710.33,2022.48,1604.45,2072.84,721.52,1896.9,3144.49
Q7TMC8|FUK_MOUSE,L-fucose kinase (Fucokinase) (EC 2.7.1.52),Fcsk,5,1,1658.93,0,0,3448.21,3419.74,0,2216.84,4589.2,464.96,0,842.78,3567.01,4788.38,0,3276.84,0,1640.5,4418.94,2353.06,4863.36,1157.89,3385.38,2482.28,0,0,2647.91,0,4678.47,0,0,4281.69,1523.25,0,0,872.82,0,3803.08,1495.93,3421.18,6218.47,3118.12,3213.29
Q8K1B8|URP2_MOUSE,Fermitin family homolog 3 (Kindlin-3) (Unc-112-related protein 2),Fermt3,3,1,0,0,0,0,5641.72,2020.09,2678.02,3409.03,4345.26,3291.46,0,1583.97,18983.7,3836.26,546.33,0,0,1669.42,587.53,160.77,0,0,0,2648.51,0,1023.56,1678.56,0,0,0,2219.93,0,0,1780.63,0,3899.53,0,878.34,0,1142.4,0,0
Q9QXC1|FETUB_MOUSE,Fetuin-B (Fetuin-like protein IRL685),Fetub,42,7,396787,250281,301418,295149,513300,573401,564220,448400,514643,562998,113144,182049,529378,348866,418940,353417,559864,586147,567550,496150,551451,587652,314940,306471,396739,456647,427399,427754,305104,231219,315681,316457,366647,389140,310881,358237,293143,375049,307770,339781,280797,233465
E9PV24|FIBA_MOUSE,Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain],Fga,183,25,1.63E+07,1.51E+07,1.69E+07,1.63E+07,3.72E+07,1.32E+07,2.81E+07,68226.4,3.17E+07,1.50E+06,1.51E+07,1.31E+07,2.07E+07,9.62E+06,2.00E+07,1.86E+07,2.45E+07,9.52E+06,3.01E+07,1.35E+07,2.35E+07,2.54E+06,772835,428285,1.24E+06,152008,1.58E+07,1.53E+07,1.47E+07,1.51E+07,647027,1.57E+07,1.36E+07,425159,1.53E+06,583597,2.98E+06,1.30E+07,528844,1.06E+07,7.09E+06,1.59E+07
